 ,VENDOR EKSISTING,NAMA BARANG,CATEGORY,PRODUK,MERK,UKURAN,SATUAN ISI,KEBUTUHAN PER PEKAN,HARGA EKSISTING,NAMA VENDOR BARU,NEXT VENDOR,HARGA EXISTING,HARGA 20/8/2026,,,Pekan I Mei,,
,Diisi oleh OUTLET,Diisi oleh OUTLET,Diisi oleh OUTLET,,Diisi oleh OUTLET,,,Diisi oleh OUTLET,,Diisi oleh tim Pengadaan PUSAT,,,,QTY,TOTAL BIAYA,ER Edelweiss,ER Summarecon,ER Cianjur
157,,Paper bowl + Tutup 800 ml,Kering,ER Coffeelab,no merk(pasar),1000 ml,pcs,1 kg,Rp57.000,Indogrosir,,39.388,39.388,,0,,,
158,,Paper cup 8 oz Polos,Kemasan,Sanusa Kitchen,,1 pack,isi 50,,Rp105.000,,,15.000,15.000,,0,1,,
159,,Paper Cup Branding ER : 12 Oz Hot Medium,Kemasan,ER Coffeelab,CUP HOT MEDIUM,,,,,PT Kemas Surya Teknovasi,Pa Dedih,964,964,,,,,
160,,Paper Cup Branding ER : 8 Oz Hot Small,Kemasan,ER Coffeelab,CUP HOT SMALL,,,,,PT Kemas Surya Teknovasi,Pa Dedih,874,874,10.874,,,,
161,,Paper Doley,Kering,ER Coffeelab,Diva Paper doley,250 pcs,pack,4 karung,Rp16.000,,,10.000,10.000,,0,,,
162,,Parmesan Powder 1 kg,,,,,,,,Mandiri (dian),,374.200,180.000,,0,,,
163,,Peach Delmonte halves CAN,Kemasan,ER Coffeelab,Delmonte,825 gr,kaleng,,Rp166.500,Mandiri Pasbar (dian),,55.000,55.000,5,275.000,2,2,
164,,Pipping bag Jumbo 30x40x50,,,,30x40x50,,,,Sejati,,45.500,35.000,,,,,
165,,piring sambal melamin,,,,,,1 botol/750ml,Rp130.000,toko mandiri,,3.800,3.800,5,19.000,2,,
166,,Pisang Tanduk,Kering,ER Coffeelab,no merk(pasar),5 kg,kg,2 ons,Rp35.000,TUNAS RAHAYU,,13.000,14.000,6,84.000,,,
167,Sunopulo,Plastic Wrap roll 45cm,Kering,ER Coffeelab,,,,,Rp115.000,MANDIRI (DIAN),,160.000,40.000,,0,,,
168,,plastik buram 15 x 30,,,,,,,,SINGA,,8.500,9.000,,0,,,
169,,Plastik Clip Ziplock 7x 10,Kering,ER Coffeelab,Ziplock,1 pack(isi 10),pack,1 botol,Rp183.000,,,7.425,7.425,,0,,,
170,,Plastik HD Anti panas Merk Diamond 15 x 30,Kering,ER Coffeelab,Diamond,2 pack,pack,1 dus,Rp144.000,,,14.850,14.850,,0,,,
171,,Plastik HD Anti Panas Merk Diamond 35 x 20,Kering,ER Coffeelab,No merk(pasar),5 pack,pack,1 dus,Rp144.000,,,9.542,9.542,,0,,,
172,,Plastik OPP 16x25,Kemasan,ER Coffeelab,,1 pack,100 pcs,,,,,10.758,10.758,,,,,
